Date,VOO,SPY
12/15/2017,246.119995,266.51001
12/18/2017,247.649994,268.200012
12/19/2017,246.75,267.170013
12/20/2017,246.559998,267.029999
12/21/2017,247.059998,267.579987
12/22/2017,247.009995,267.51001
12/26/2017,245.539993,267.190002
12/27/2017,245.679993,267.320007
12/28/2017,246.139999,267.869995
12/29/2017,245.289993,266.859985
1/2/2018,247.089996,268.769989
1/3/2018,248.559998,270.470001
1/4/2018,249.649994,271.609985
1/5/2018,251.25,273.420013
1/8/2018,251.770004,273.920013
1/9/2018,252.300003,274.540009
1/10/2018,251.869995,274.119995
1/11/2018,253.729996,276.119995
1/12/2018,255.410004,277.920013
1/16/2018,254.479996,276.970001
1/17/2018,256.940002,279.609985
1/18/2018,256.589996,279.140015
1/19/2018,257.679993,280.410004
1/22/2018,259.75,282.690002
1/23/2018,260.339996,283.290009
1/24/2018,260.209991,283.179993
1/25/2018,260.329987,283.299988
1/26/2018,263.359985,286.579987
1/29/2018,261.540009,284.679993
1/30/2018,258.75,281.76001
1/31/2018,258.98999,281.899994
2/1/2018,258.730011,281.579987
2/2/2018,253.190002,275.450012
2/5/2018,242.789993,263.929993
